  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  31 09 03.55512,  -97 24 43.89896,      181.503,   31 09 03.55512,  -97 24 43.89896,      181.503, 1266446236.00,  32.5993275681,   3.3708253003,   0.9191961907,    -0.008,    -0.019,     0.020
  31 09 03.55509,  -97 24 43.89895,      181.505,   31 09 03.55509,  -97 24 43.89895,      181.505, 1266446237.00,  32.6102023071,   3.3357889311,   0.9268050702,    -0.004,    -0.001,     0.018
  31 09 03.55504,  -97 24 43.89894,      181.505,   31 09 03.55504,  -97 24 43.89894,      181.505, 1266446238.00,  32.6228073786,   3.3781477009,   0.9876302698,     0.007,     0.013,     0.003
  31 09 03.55509,  -97 24 43.89897,      181.502,   31 09 03.55509,  -97 24 43.89897,      181.502, 1266446239.00,  32.6917513901,   3.4495898084,   1.0078155729,     0.002,    -0.017,     0.004
  31 09 03.55511,  -97 24 43.89887,      181.507,   31 09 03.55511,  -97 24 43.89887,      181.507, 1266446240.00,  32.6481263835,   3.3162854478,   1.1114464493,     0.007,    -0.004,     0.017
  31 09 03.55509,  -97 24 43.89891,      181.506,   31 09 03.55509,  -97 24 43.89891,      181.506, 1266446241.00,  32.6425515042,   3.3545704877,   0.9279223379,     0.008,     0.001,     0.026
  31 09 03.55503,  -97 24 43.89894,      181.505,   31 09 03.55503,  -97 24 43.89894,      181.505, 1266446242.00,  32.6670225316,   3.3872405411,   0.9828804497,     0.005,    -0.012,     0.016
  31 09 03.55502,  -97 24 43.89889,      181.505,   31 09 03.55502,  -97 24 43.89889,      181.505, 1266446243.00,  32.6540163897,   3.3804452617,   1.0030256457,     0.004,    -0.009,    -0.017
  31 09 03.55506,  -97 24 43.89887,      181.507,   31 09 03.55506,  -97 24 43.89887,      181.507, 1266446244.00,  32.6771753438,   3.2999045844,   1.0721988403,    -0.001,     0.011,    -0.007
  31 09 03.55503,  -97 24 43.89885,      181.504,   31 09 03.55503,  -97 24 43.89885,      181.504, 1266446245.00,  32.6683575233,   3.3935488065,   1.0991622342,     0.004,     0.020,    -0.007
  31 09 03.55507,  -97 24 43.89885,      181.505,   31 09 03.55507,  -97 24 43.89885,      181.505, 1266446246.00,  32.6257982183,   3.3540834735,   0.8132448353,    -0.010,     0.001,    -0.014
  31 09 03.55512,  -97 24 43.89882,      181.508,   31 09 03.55512,  -97 24 43.89882,      181.508, 1266446247.00,  32.6682543909,   3.2287604150,   0.8903706841,     0.003,     0.001,    -0.010
  31 09 03.55511,  -97 24 43.89882,      181.507,   31 09 03.55511,  -97 24 43.89882,      181.507, 1266446248.00,  32.6949083875,   3.2623701193,   1.0212628924,     0.012,    -0.002,    -0.014
  31 09 03.55501,  -97 24 43.89886,      181.506,   31 09 03.55501,  -97 24 43.89886,      181.506, 1266446249.00,  32.6880844602,   3.3289191672,   1.0631690255,     0.002,     0.010,     0.022
  31 09 03.55501,  -97 24 43.89883,      181.505,   31 09 03.55501,  -97 24 43.89883,      181.505, 1266446250.00,  32.6416347717,   3.3439707685,   0.9564613657,    -0.007,     0.014,     0.008
  31 09 03.55497,  -97 24 43.89882,      181.501,   31 09 03.55497,  -97 24 43.89882,      181.501, 1266446251.00,  32.6167626738,   3.4291294855,   0.9219807656,    -0.010,    -0.006,     0.007
  31 09 03.55498,  -97 24 43.89876,      181.503,   31 09 03.55498,  -97 24 43.89876,      181.503, 1266446252.00,  32.5954028072,   3.3798894926,   0.9311137129,    -0.000,     0.005,    -0.002
  31 09 03.55504,  -97 24 43.89879,      181.504,   31 09 03.55504,  -97 24 43.89879,      181.504, 1266446253.00,  32.6976585849,   3.3462797884,   1.0436082464,     0.001,     0.003,    -0.002
  31 09 03.55507,  -97 24 43.89880,      181.502,   31 09 03.55507,  -97 24 43.89880,      181.502, 1266446254.00,  32.7031704389,   3.3452885714,   0.9225651826,     0.004,     0.009,    -0.014
  31 09 03.55513,  -97 24 43.89867,      181.504,   31 09 03.55513,  -97 24 43.89867,      181.504, 1266446255.00,  32.6257753000,   3.2843430507,   0.9138734128,    -0.005,    -0.007,     0.001
  31 09 03.55505,  -97 24 43.89869,      181.501,   31 09 03.55505,  -97 24 43.89869,      181.501, 1266446256.00,  32.6695951121,   3.3386995567,   0.9553899346,     0.001,    -0.017,     0.010
  31 09 03.55495,  -97 24 43.89865,      181.502,   31 09 03.55495,  -97 24 43.89865,      181.502, 1266446257.00,  32.5700494248,   3.3458557996,   0.9294521353,     0.013,     0.008,     0.000
  31 09 03.55501,  -97 24 43.89865,      181.501,   31 09 03.55501,  -97 24 43.89865,      181.501, 1266446258.00,  32.6533975953,   3.2949484995,   0.9728594178,     0.008,     0.008,     0.004
  31 09 03.55499,  -97 24 43.89863,      181.500,   31 09 03.55499,  -97 24 43.89863,      181.500, 1266446259.00,  32.6083172759,   3.3499352591,   0.9200384387,     0.013,     0.008,     0.013
  31 09 03.55498,  -97 24 43.89865,      181.500,   31 09 03.55498,  -97 24 43.89865,      181.500, 1266446260.00,  32.6208077559,   3.3530922566,   0.9891944446,     0.001,     0.014,     0.004
  31 09 03.55494,  -97 24 43.89867,      181.498,   31 09 03.55494,  -97 24 43.89867,      181.498, 1266446261.00,  32.6674694387,   3.4106401375,   1.1151706750,    -0.008,     0.017,     0.010
  31 09 03.55492,  -97 24 43.89864,      181.498,   31 09 03.55492,  -97 24 43.89864,      181.498, 1266446262.00,  32.6134223299,   3.4080962049,   1.0005390089,    -0.012,     0.001,    -0.001
  31 09 03.55498,  -97 24 43.89864,      181.499,   31 09 03.55498,  -97 24 43.89864,      181.499, 1266446263.00,  32.6492379217,   3.3939613361,   1.0040054036,    -0.013,    -0.002,     0.000
  31 09 03.55497,  -97 24 43.89871,      181.500,   31 09 03.55497,  -97 24 43.89871,      181.500, 1266446264.00,  32.6717494334,   3.3684532550,   1.1040151867,     0.005,    -0.006,     0.002
  31 09 03.55495,  -97 24 43.89874,      181.500,   31 09 03.55495,  -97 24 43.89874,      181.500, 1266446265.00,  32.6744136872,   3.4023494382,   0.9919904786,    -0.008,    -0.018,    -0.002
  31 09 03.55488,  -97 24 43.89870,      181.500,   31 09 03.55488,  -97 24 43.89870,      181.500, 1266446266.00,  32.5926411507,   3.4181344255,   0.8892534164,    -0.002,    -0.022,     0.014
  31 09 03.55488,  -97 24 43.89869,      181.505,   31 09 03.55488,  -97 24 43.89869,      181.505, 1266446267.00,  32.6042091685,   3.2854431297,   0.9187722020,    -0.005,    -0.005,     0.006
  31 09 03.55488,  -97 24 43.89862,      181.506,   31 09 03.55488,  -97 24 43.89862,      181.506, 1266446268.00,  32.5652652272,   3.2755710669,   0.8438235928,     0.004,     0.017,     0.008
  31 09 03.55493,  -97 24 43.89861,      181.507,   31 09 03.55493,  -97 24 43.89861,      181.507, 1266446269.00,  32.6498567161,   3.2698472185,   1.0764215393,     0.010,     0.027,     0.019
  31 09 03.55487,  -97 24 43.89861,      181.504,   31 09 03.55487,  -97 24 43.89861,      181.504, 1266446270.00,  32.6315908216,   3.3612970122,   1.0713737811,     0.001,     0.008,     0.001
  31 09 03.55486,  -97 24 43.89863,      181.505,   31 09 03.55486,  -97 24 43.89863,      181.505, 1266446271.00,  32.5924635337,   3.3462167630,   0.9034627697,    -0.011,    -0.004,    -0.001
  31 09 03.55491,  -97 24 43.89859,      181.506,   31 09 03.55491,  -97 24 43.89859,      181.506, 1266446272.00,  32.6183612261,   3.3099141571,   0.9648838453,    -0.004,    -0.002,    -0.008
  31 09 03.55490,  -97 24 43.89860,      181.504,   31 09 03.55490,  -97 24 43.89860,      181.504, 1266446273.00,  32.6350113796,   3.4050480694,   1.0816698327,    -0.013,     0.005,     0.008
  31 09 03.55492,  -97 24 43.89859,      181.504,   31 09 03.55492,  -97 24 43.89859,      181.504, 1266446274.00,  32.6167569443,   3.3834017239,   0.9844847315,    -0.007,     0.004,     0.019
  31 09 03.55494,  -97 24 43.89858,      181.504,   31 09 03.55494,  -97 24 43.89858,      181.504, 1266446275.00,  32.5889570320,   3.3778726812,   0.9577161433,     0.006,     0.014,     0.033
  31 09 03.55498,  -97 24 43.89864,      181.505,   31 09 03.55498,  -97 24 43.89864,      181.505, 1266446276.00,  32.6649140469,   3.3899449019,   1.0005103610,     0.021,     0.013,    -0.012
  31 09 03.55500,  -97 24 43.89860,      181.503,   31 09 03.55500,  -97 24 43.89860,      181.503, 1266446277.00,  32.6424025352,   3.4258006008,   1.0200539514,    -0.001,     0.022,    -0.002
