             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 16 37.00547,  -97 33 17.22509,     3490.290,   33 16 37.00547,  -97 33 17.22509,     3490.290, 1271009570.00, -17.1244713190,   0.6749156348,   2.9837063660,     0.270,    52.551,     0.073
  33 16 38.71186,  -97 33 17.20733,     3490.347,   33 16 38.71186,  -97 33 17.20733,     3490.347, 1271009571.00, -16.3928958878,   0.5879005344,   2.9735936609,     0.642,    52.643,     0.045
  33 16 40.42182,  -97 33 17.17423,     3490.383,   33 16 40.42182,  -97 33 17.17423,     3490.383, 1271009572.00, -15.6121205708,   0.6850111511,   2.5876607493,     1.063,    52.763,     0.045
  33 16 42.13465,  -97 33 17.12633,     3490.484,   33 16 42.13465,  -97 33 17.12633,     3490.484, 1271009573.00, -15.0282307410,   0.7078091418,   1.2048156516,     1.371,    52.816,     0.157
  33 16 43.84844,  -97 33 17.07046,     3490.623,   33 16 43.84844,  -97 33 17.07046,     3490.623, 1271009574.00, -14.8777662944,   0.5475585761,  -0.1613621038,     1.475,    52.827,     0.120
  33 16 45.56183,  -97 33 17.01441,     3490.708,   33 16 45.56183,  -97 33 17.01441,     3490.708, 1271009575.00, -15.0276635128,   0.6060862148,  -1.4955630847,     1.355,    52.793,     0.061
  33 16 47.27270,  -97 33 16.96821,     3490.805,   33 16 47.27270,  -97 33 16.96821,     3490.805, 1271009576.00, -15.5184247826,   0.7168504158,  -2.3093522299,     1.016,    52.667,     0.130
  33 16 48.97912,  -97 33 16.93687,     3490.957,   33 16 48.97912,  -97 33 16.93687,     3490.957, 1271009577.00, -16.3269599048,   0.7153091593,  -1.9838835544,     0.622,    52.533,     0.169
  33 16 50.68092,  -97 33 16.92052,     3491.157,   33 16 50.68092,  -97 33 16.92052,     3491.157, 1271009578.00, -17.0601797248,   0.8024445808,  -0.9540320247,     0.267,    52.389,     0.230
